marker,time_seconds,time_mm_ss,score
1,0.419,0:00.419,0.876
2,3.025,0:03.025,0.965
3,4.768,0:04.768,0.862
4,9.608,0:09.608,0.931
5,12.040,0:12.040,0.890
6,15.857,0:15.857,0.962
7,19.969,0:19.969,0.897
8,24.964,0:24.964,0.968
9,27.343,0:27.343,0.941
10,31.191,0:31.191,0.970
11,35.304,0:35.304,0.933
12,39.353,0:39.353,0.936
13,42.707,0:42.707,0.792
14,54.678,0:54.678,0.829
15,58.521,0:58.521,0.820
16,62.225,1:02.225,0.798
17,65.963,1:05.963,0.893
18,70.041,1:10.041,0.885
19,73.888,1:13.888,0.834
20,77.739,1:17.739,0.826
21,81.337,1:21.337,0.840
22,86.373,1:26.373,0.925
23,90.212,1:30.212,0.863
24,92.613,1:32.613,0.845
25,94.053,1:34.053,0.959
26,96.927,1:36.927,0.917
27,99.813,1:39.813,0.950
28,103.656,1:43.656,0.955
29,105.572,1:45.572,0.910
30,108.450,1:48.450,0.930
31,113.253,1:53.253,0.948
32,115.174,1:55.174,0.961
33,118.047,1:58.047,0.919
34,120.932,2:00.932,0.947
35,122.369,2:02.369,0.911
36,126.697,2:06.697,0.939
37,128.615,2:08.615,0.922
38,132.453,2:12.453,0.916
39,136.290,2:16.290,0.967
40,137.751,2:17.751,0.902
41,140.116,2:20.116,0.953
42,142.054,2:22.054,0.873
43,143.973,2:23.973,0.883
44,146.391,2:26.391,0.871
45,150.201,2:30.201,0.842
46,154.025,2:34.025,0.904
47,158.333,2:38.333,0.913
48,161.727,2:41.727,0.964
49,165.092,2:45.092,0.907
50,168.925,2:48.925,0.958
51,172.773,2:52.773,0.944
52,178.533,2:58.533,0.928
53,182.363,3:02.363,0.938
54,185.750,3:05.750,0.934
55,187.650,3:07.650,0.942
56,191.970,3:11.970,0.900
57,195.317,3:15.317,0.865
58,197.246,3:17.246,0.894
59,199.649,3:19.649,0.849
60,201.077,3:21.077,0.832
61,203.492,3:23.492,0.856
62,207.333,3:27.333,0.951
63,215.980,3:35.980,0.851
64,217.902,3:37.902,0.945
65,219.825,3:39.825,0.956
66,221.711,3:41.711,0.921
